name,city,lat,lng,country,typology,number_of_articles,name_of_authors 1,name_of_authors 2,name_of_authors 3,name_of_authors 4,name_of_authors 5,name_of_authors 6,date 1,date 2,date 3,date 4,date 5,date 6,link
The New Statesman,"London, England",51.5072178,-0.1275862,England,Advertisement,1,Marianne Kavanagh,,,,,,01/01/2021,,,,,,
The Monthly Packet of Evening Readings,"London, England",51.5072178,-0.1275862,England,Advertisement,1,Emily Underdown,,,,,,01/02/1995,,,,,,
The Queen,"London, England",51.5072178,-0.1275862,England,Advertisement,,,,,,,,,,,,,,
The Referee   ,"London, England",51.5072178,-0.1275862,England,Advertisement,1,Mrs. Colquhoun Grant,,,,,,15/10/2012,,,,,,https://www.britishnewspaperarchive.co.uk/titles/the-referee
The Review of Reviews,"London, England",51.5072178,-0.1275862,England,Advertisement,1,m. L. Egerton Castle,,,,,,01/05/2007,,,,,,
The Scotsman,"Edinburgh, Scotland",55.953252,-3.188267,Scotland,Advertisement,2,Margaret Oliphant,Catherine Potter,,,,,15/06/1877,15/06/1899,,,,,https://www.britishnewspaperarchive.co.uk/titles/the-scotsman
The Speaker,"London, England",51.5072178,-0.1275862,England,Advertisement,,,,,,,,,,,,,,
The Sphere,"London, England",51.5072178,-0.1275862,England,Advertisement,3,Marion Bainbrigge,M. L. Egerton Castle,Mrs. Colquhoun Grant,,,,28/10/2012,,,,,,
The Standard,"London, England",51.5072178,-0.1275862,England,Advertisement,2,Catherine Potter,Maria Francesca Rossetti,,,,,05/07/1899,03/08/1894,,,,,
The Tablet,"London, England",51.5072178,-0.1275862,England,Advertisement,1,margaret Oliphant,,,,,,25/06/1998,,,,,,
The Times,"London, England",51.5072178,-0.1275862,England,Advertisement,2,Marion Bainbrigge,Emily Underdown,,,,,,,,,,,
The Times Literary Supplement,"London, England",51.5072178,-0.1275862,England,Advertisement,1,marion Bainbrigge,,,,,,,,,,,,
Weekly Freeman's Journal,"Dublin, Ireland",53.3498053,-6.2603097,Ireland,Advertisement,1,Marianne Kavanagh,,,,,,07/05/2021,,,,,,
Westminister Gazette,"London, England",51.5072178,-0.1275862,England,Advertisement,5,Marian Andrews,Marion Bainbrigge,Maria Francesca Rossetti,Emily Underdown,Rose E. Selfel,,06/12/1905,nd,03/08/1894,2533,102,,
Winsford & Middlewich Guardian,"Winsford, England",53.19426199999999,-2.51967,England,Advertisement,1,Emelia Russell Gurney,,,,,,18/08/1997,,,,,,https://www.britishnewspaperarchive.co.uk/titles/winsford-middlewich-guardian
